Lp.;Nazwa własna;Telefon;Email;Charakter usług;Kategoria obiektu;Rodzaj obiektu;Adres
732;OSTOJA;(18)351-41-69;kontakt@zajazdostoja.pl;stały;***;hotel;38-350 Bobowa, ul. Grunwaldzka 53
733;ASPEN;77 439 48 05;recepcja@hotelaspen.pl;stały;***;hotel;48-340 Podlesie, Podlesie
734;HUBERTUS RZESZÓW;17 852 60 07;recepcja@hubertus-rzeszow.pl;stały;***;hotel;35-064 Rzeszów, Mickiewicza 5
735;CENTURIA;32 678-35-00;recepcja@hotelcenturia.pl;stały;***;hotel;42-440 Ogrodzieniec, Centuria 1
736;"""HOTEL 77""";58 572 27 77;recepcja@hotel77.pl;stały;***;hotel;84-120 Chałupy, Kaperska 77
737;CESARSKIE OGRODY;91-321-02-21;info@cesarskieogrody.pl;stały;***;hotel;72-600 Świnoujście, Wyspiańskiego 34a
738;NAD RABĄ;(14) 611-39-93;recepcja@hotelnadraba.pl;stały;***;hotel;32-700 Bochnia, ul. Proszowska 121
739;HOTEL DIAMENT BELLA NOTTE;32-606-84-84;bellanotte@hotelediament.pl;stały;***;hotel;41-500 Chorzów, Paderewskiego
740;ALBATROS;16 678 08 70;hotel@albatros.przemysl.pl;stały;***;hotel;37-700 Przemyśl, Ofiar Katynia 26
741;BLUES;32-771-94-35;info@blues-hotel.pl;stały;***;hotel;41-500 Chorzów, Wolności 15
742;"""HAMPTON BY HILTON GDAŃSK AIRPORT""";58/882-10-00;gdnap_hampton@hilton.com;stały;***;hotel;80-298 Gdańsk, Słowackiego
743;LIBERO;71383 13 90;hotel@hotel-libero.pl;stały;***;hotel;56-300 Milicz, Kościuszki 2
744;POD ZŁOTĄ KORONĄ;77 456 20 52;korona1@poczta.fm;stały;***;hotel;45-641 Opole, oświęcimska 136
745;KUŹNIA SMAKÓW;663943934;biuro@kuzniasmakow.com;stały;***;hotel;87-207 Małe Pułkowo, 20
746;GARAGE HOTEL;54 236 36 12;;stały;***;hotel;87-800 Włocławek, Toruńska 113
747;ELJAN;95 762-04-97;hoteleljan@hoteleljan.com.pl;stały;***;hotel;66-530 Drezdenko, Ogrodowa 4
748;Q HOTEL KRAKÓW;12 333-41-41;rezerwacje@hotelqkrakow.pl;stały;***;hotel;31-342 Kraków, ul. Radzikowskiego 142
749;WARSZAWSKI;(12) 424-21-00;recepcja@hotelwarszawski.pl;stały;***;hotel;31-154 Kraków, ul. Pawia 4-6
750;"""KISTON""";607-300-500;kiston@kiston.pl;stały;***;hotel;83-320 Kistowo, KISTOWO 26
751;LAJKONIK;(33) 874-51-00;hotellajkonik@onet.pl;stały;***;hotel;34-223 Zawoja, Zawoja 1550
752;WIT STWOSZ;(0 12) 429-60-2;hotel@wit-stwosz.com.pl;stały;***;hotel;31-027 Kraków, ul. Mikołajska 28
753;OSTANIEC;34 315-50-01;biuro@ ostaniec.com.pl;stały;***;hotel;42-425 Podlesice, -
754;AGAT;757 173 430;recepcja@hotel-agat.pl;stały;***;hotel;58-580 Szklarska Poręba, 1 Maja 11
755;TYCJAN;+48 33 86 37 22;info@hotel-tycjan.pl;stały;***;hotel;34-360 Milówka, Plac Wolności 7
756;RESTAURACJA ADA;77 472 21 21;rezerwacje@hotelada.pl;stały;***;hotel;47-210 Większyce, Głogowska 1
757;ALEX;(084) 627 27 11;recepcja@hotel-alex.pl;stały;***;hotel;22-400 Zamość, Okrzei 32
758;HOTEL RONDO;532500800;;stały;***;hotel;87-200 Wąbrzeźno, Mikołaja z Ryńska 11 a
759;"HOTEL ""VICTORIA""";544 124 400;recepcja@victoria-hotel.pl;stały;***;hotel;87-800 Włocławek, Przechodnia 1 B
760;SAVANA;12 284-63-10;biuro@petro-tar.pl;stały;***;hotel;32-015 Kłaj, Łężkowice 109
761;DUET;(071) 34-10-916;;stały;***;hotel;50-127 Wrocław, Św. Mikołaja 47-48
762;CHATA KARCZOWISKA;(076) 844-90-20;karczowiska@chata.dip.pl;stały;***;hotel;59-307 Raszówka, Karczowiska 4
763;HOTEL HAMPTON BY HILTON WARSAW AIRPORT;(22) 204-18-00;wawap@port-hotel.com;stały;***;hotel;02-148 Warszawa, 17-ego Stycznia 39 F
764;WESOŁA;( 14) 678-62-14;;stały;***;hotel;33-151 Nowa Jastrząbka, Nowa Jastrząbka 92 A
765;TARA;41 344-32-01;tara@tara.pl;stały;***;hotel;25-310 Kielce, Kościuszki 24
766;HOTEL HOLIDAY PARK;22 865 27 80;recepcja@HPhotel.pl;stały;***;hotel;01-991 Warszawa, Heroldów
767;PAŃSKA GÓRA;32 6150-150;hotel@panskagora.com.pl;stały;***;hotel;43-600 Jaworzno, Krakowska 1
768;PATIO;(071) 37-50-400;marketing@hotelpatio.pl;stały;***;hotel;50-110 Wrocław, Kiełbaśnicza 24/25
769;PLANETA;601 066 566;klubplaneta.ks@gmail.com;stały;***;hotel;32-250 Charsznica, żarnowiecka 45a
770;ZAJAZD CELTYCKI;(0 12)251-18-16;zajazdceltycki@wp.pl;stały;***;hotel;32-003 Zakrzów, Zakrzów 343
771;WYSOKA;18 471-58-92;wysoka@wysoka.com;stały;***;hotel;33-380 Krynica-Zdrój, ul. Polna 2
772;"'PAN TADEUSZ""";052 3605400 05;recepcja@hotel-pan-tadeusz.pl;stały;***;hotel;86-031 Osielsko, Szosa Gdańska 43
773;ATRIA;(91) 43 11 11;aleksandra.jelinska@neostrada.pl;stały;***;hotel;72-100 Goleniów, żółwia 1i
774;PANORAMA;(0 14)610-92-30;biuro@panorama-wisnicz.pl;stały;***;hotel;32-720 Nowy Wiśnicz, Stary Wiśnicz 508
775;FORTUNA BIS;12 430-10-25;infobis@hotel-fortunabis.pl;stały;***;hotel;31-110 Kraków, ul. M. Piłsudskiego 25
776;"""MAJEWSKI""";58/272-26-55;hotel@hotel-majewski.pl;stały;***;hotel;82-200 Malbork, Daleka 125
777;HOTEL KUR;89-521-47-00;hotel@hotelkur.pl;stały;***;hotel;10-189 Olsztyn, Bałtycka 89
778;HOTEL DOBCZYCE;12 271-38-30;recepcja@jalowcowagora.pl;stały;***;hotel;32-410 Dobczyce, ul. Jałowcowa 30
779;JANUSZ;6442472;;stały;***;hotel;08-110 Siedlce, Pusta 15
780;KOSMOWSKI;;;stały;***;hotel;62-300 Września, Wrocławska 43
781;"""FOCUS""";58/35-00-801;gdansk@hotelfocus.com.pl;stały;***;hotel;80-718 Gdańsk, Elbląska 85
782;KASZTELAN;(12) 274-32-66;recepcja@hotelkasztelan.pl;stały;***;hotel;32-410 Dobczyce, ul. Przedbronie 3
783;HOTEL CAMPANILE;52 586-20-00;bydgoszcz@campanile.com;stały;***;hotel;85-027 Bydgoszcz, Jagiellońska 59
784;Hotel Batory;061 832 44 81;info@batory.poznan.pl;stały;***;hotel;60-115 Poznań, Leszczyńska 7-13
785;WENA;713878989;recepcja@hotelwena.pl;stały;***;hotel;51-180 Psary, GÓWNA 20
786;POD RATUSZEM;438424335;recepcja@hotelpodratuszem.com;stały;***;hotel;98-300 Wieluń, Królewska 7-9
787;FADO;095 738-88-00;recepcja@hotelfado.pl;stały;***;hotel;66-400 Gorzów Wielkopolski, Al. Konstytucji 3 Maja 12
788;HOTEL ISKRA;48-362-84-33;iskra@hotelewam.pl;stały;***;hotel;26-600 Radom, Planty 4
789;PARK HOTEL;0 52 3828330;;stały;***;hotel;85-011 Tryszczyn, Długa 1
790;PROMIS;68 362-59-00;info@hotelpromis.pl;stały;***;hotel;68-212 Jagłowice, Jagłowice 28
791;HOTEL MASOVIA;87-735-20-90;recepcja@hotelmasovia.pl;stały;***;hotel;11-500 Giżycko, Dąbrowskiego 8
792;"""CZTERY BRZOZY""";58 309 09 09;hotel@hotelczterybrzozy.pl;stały;***;hotel;80-180 Kowale, skromna 1
793;"""GÓRSKI""";58/691-04-80;hotel@hotelgorski.com;stały;***;hotel;83-000 Pruszcz Gdański, Grunwaldzka 64
794;KLIMCZAK;43 678-06-53;rejestracja@hotelklimczak.pl;stały;***;hotel;98-200 Sieradz, Wojska Polskiego 99
795;HOTEL & RESTURACJA CZTERY PORY ROKU;55-235-15-24;cpr@onet.pl;stały;***;hotel;11-130 Orneta, Braniewska
796;CYPRUS;+48 (0-22) 734-;hotel.cyprus@gmail.com;stały;***;hotel;05-825 Książenice, Mazowiecka 121 A
797;PREEMIER;(074) 85-85-120;eda@preem.pl;stały;***;hotel;58-124 Marcinowice, Wrocławska 12
798;OMEGA HOTEL;89-522-05-00;hotel@omegahotel.pl;stały;***;hotel;10-802 Olsztyn, Sielska 4a
799;ASCOT HOTEL;(12) 384-06-06;recepcja@hotelascot.pl;stały;***;hotel;31-026 Kraków, ul. Radziwiłłowska 3
800;"""FAHRENHEIT""";58/324-74-00;recepcja@fahrenheit.pl;stały;***;hotel;80-841 Gdańsk, Grodzka 19
801;ZBYSZKO;91-431-34-60;biuro@hotelzbyszko.com.pl;stały;***;hotel;70-783 Szczecin, Rydla 92
802;CONFERO;774 091 261;;stały;***;hotel;48-303 Nysa, Piłsudskiego
803;SEN;068 475-66-44;Hotelsen@e7.pl;stały;***;hotel;66-200 Świebodzin, Generała Świerczewskiego 1
804;HOTEL VILLA;564 779 853;hotel-villa@wp.pl;stały;***;hotel;86-300 Grudziądz, Chełmińska 44
805;POLANICA;748681485;RECEPCJA@HOTEL-POLANICA.EU;stały;***;hotel;57-320 Polanica-Zdrój, WARSZAWSKA 16
806;HOTEL CESARSKI;87-732-76-70;biuro@cesarski.eu;stały;***;hotel;11-500 Giżycko, Plac Grunwaldzki 8
807;LIPTAKÓWKA;(18)265-35-72;biuroliptakowka@gmail.com;stały;***;hotel;34-405 Białka Tatrzańska, ul. Środkowa 169
808;"""STARY MALBORK""";0 - 55 647 -;hotel@hotelstarymalbork.com.pl;stały;***;hotel;82-200 Malbork, 17 Marca 26-27
809;WIOSNA;(0 18)267-77-77;recepcja@wiosna.net;stały;***;hotel;34-700 Rabka-Zdrój, ul. Poniatowskiego 54
810;DOBOSZ;91- 317 52 58;recepcja@dobosz.pl;stały;***;hotel;72-010 Police, Wróblewskiego 1
811;PAŁAC;774 397 553;;stały;***;hotel;46-113 Jakubowice, 36
812;HOTEL PAŁAC BURSZTYNOWY;542 319 100;recepcja@palacbursztynowy.pl;stały;***;hotel;87-800 Włocławek, Okrężna 21
813;"""ABRAVA""";542 832 614;hotel.abrava@wp.pl;stały;***;hotel;87-720 Ciechocinek, Zdrojowa 18
814;Posnania;;;stały;***;hotel;64-412 Łężeczki, Łężeczki
815;"""STAROMIEJSKI""";0 - 59 842 -;biuro@przymorze.com.pl;stały;***;hotel;76-200 Słupsk, Jedności Narodowej 4-5
816;AGIT CONGRESS&SPA;818228122;hotel@agit.com.pl;stały;***;hotel;20-078 Lublin, wojciechowska 29
817;"""NIEDZWIADEK""";58/686-13-13;niedzwiadek@niedzwiadek.gda.pl;stały;***;hotel;83-406 Wdzydze, Wąglikowice
818;HOTEL KOPCZYŃSKI;89-513-33-13;hotel@hotelkopczynski.pl;stały;***;hotel;11-040 Dobre Miasto, Orła Białego 18
819;ARTUR;(12) 651-06-00;hotelartur@hotelartur.pl;stały;***;hotel;30-837 Kraków, ul. Aleksandry 30
820;TANGO;(075) 76-76-304;hotel@hotel-fan.pl;stały;***;hotel;58-500 Jelenia Góra, Sudecka 70
821;Energetyk;/0-13/ 435-03-1;hoteliwonicz@hotels-energetyk.com.pl;stały;***;hotel;38-440 Iwonicz-Zdrój, Piwarskiego 26
822;Stara Stajnia;;;stały;***;hotel;63-300 Zawidowice, Zawidowice 14g
823;Hotel 500;061 896 24 00,;;stały;***;hotel;62-080 Tarnowo Podgórne, Poznańska 139
824;HOTEL WELLNESS DWÓR DĘBOWIEC;33-858-85-85;biuro @dwordebowiec.pl;stały;***;hotel;43-426 Dębowiec, Spółdzielcza 6
825;GÓRSKO;(12)278-39-27;biuro@hotelgorsko.pl;stały;***;hotel;32-020 Wieliczka, ul. Górsko 14/16
826;SIENIAWA PAŁAC HOTEL;16 649 17 00;recepcja@palacsieniawa.pl;stały;***;hotel;37-530 Sieniawa, Kościuszki 32
827;Hotel IOR;061 867 11 68,;hotel@ior.poznan.pl;stały;***;hotel;60-318 Poznań, Miczurina 20 a
828;WILGA;33-854-33-11;recepcja@wilga-hotel.pl;stały;***;hotel;43-450 Ustroń, Zdrojowa 7
829;JAMROZOWA POLANA HOTEL&BROWAR;748667500;recepcja@jamrozowapolana.eu;stały;***;hotel;57-340 Duszniki-Zdrój, OLIMPIJSKA 1
830;DWÓR W ZABUŻU HOTEL SPA;83/3598725;;stały;***;hotel;08-220 Zabuże, Zabuże 40
831;ALMA;95 746-35-5;office@hotelalma.com.pl;stały;***;hotel;74-320 Barlinek, Strzelecka 6a
832;PARK HOTEL HALINA PIETRASZEK,UL.KIJOWSKA 20,85-70;523 763 626;parkhotel@parkhotel.bydgoszcz.pl;stały;***;hotel;85-211 Bydgoszcz, Wrocławska 3
833;VILLA SZAMOCIN;226 142 126;kontakt@villaszamocin.pl;stały;***;hotel;03-002 Warszawa, Szamocin 28
834;SOFIA;713460463;marketing@hotelsofia.pl;stały;***;hotel;50-014 Wrocław, PIŁSUDSKIEGO 104
835;LIMANOVA HOTEL;18 332-78-05;recepcja@limanovahotel.pl;stały;***;hotel;34-600 Limanowa, ul. Sikorskiego 28
836;POLONIA;+48 32 414 02 70;hotel@polonia.raciborz.pl;stały;***;hotel;47-400 Racibórz, Pl. Dworcowy 16
837;DWÓR OSTOIA;13 435 65 99;OSTOIA@POCZTA.ONET.PL;stały;***;hotel;38-480 Klimkówka, ZDROJOWA 1
838;NAD STARĄ NIDĄ;41 357-24-40;info@hotelnsn.pl;stały;***;hotel;28-400 Pińczów, Armii Ludowej 4
839;WILLA POD SKOCZNIĄ;(18)201-46-82;rezerwacja@podskocznia.pl;stały;***;hotel;34-500 Zakopane, ul. Piłsudskiego 59a
840;PIOTR;748867421;;stały;***;hotel;58-371 Boguszów-Gorce, KOŚCIUSZKI 4
841;PIAST;914 144 536;warsp@vp.pl;stały;***;hotel;74-520 Cedynia, Świerczewskiego 2
842;MAGNOLIA;41366-79-12;recepcja@hotelmagnolia.pl;stały;***;hotel;26-052 Bolechowice, Zgórsko 90A
843;ASPEN;774394805;recepcja@hotelaspen.pl;stały;***;hotel;48-340 Podlesie, 52
844;HOTEL AUSTERIA CONFERENCE &SPA;542 317 000;recepcja@hotelausteria.pl;stały;***;hotel;87-720 Ciechocinek, Bema 32
845;"""KARCZMA CHEŁMIŃSKA""";566 790 605;;stały;***;hotel;86-200 Chełmno, 22 Stycznia 1b
846;HOTEL IBIS KRAKÓW STARE MIASTO;(12) 355-29-00;h7161@accor.com;stały;***;hotel;31-154 Kraków, ul. Pawia 15
847;HOTEL NEAPOL;544 160 222;recepcja@hotel-neapol.pl;stały;***;hotel;87-720 Ciechocinek, Zdrojowa 34
848;Atlas;544 162 626;biuro@hotelatlas.com.pl;stały;***;hotel;87-720 Ciechocinek, Reymonta 1
849;HOTEL - RESTAURACJA VARIA;23-697-37-75;hotelvaria@hotelvaria.pl;stały;***;hotel;13-200 Działdowo, Hallera 30
850;STEFANIA;(0 18)472-51-10;recepcja@hotelstefania.pl;stały;***;hotel;33-380 Krynica-Zdrój, ul. Piłsudskiego 13
851;AUTOMOBIL HOTEL;(12) 651-39-30;recepcja@automobilhotel.pl;stały;***;hotel;30-732 Kraków, ul. Płk. dąbka 13
852;KAMIENICZKA;76723739296;;stały;***;hotel;59-220 Legnica, Młynarska 13-16
853;Hotel Pietrak;52 315 44 00;;stały;***;hotel;62-240 Trzemeszno, Foluska 4
854;"""CZTERY PORY ROKU""";0 - 58 692 -;info@mcse.com.pl;stały;***;hotel;83-010 Straszyn, Spacerowa 28
855;ROMA;62 501 75 55;;stały;***;hotel;62-800 Kalisz, chopina 9
856;U PIETRZAKÓW: MAREK PIETRZAK;22 799 77 71;;stały;***;hotel;05-220 Zielonka, Lipowa 20
857;BAST;052-357-20-24 d;bast@hotelbast.pl;stały;***;hotel;88-100 Inowrocław, Królowej Jadwigi 35
858;PODZAMCZE HOTEL RESTAURACJA;227260066;recepcja@podzamczehotel.pl;stały;***;hotel;05-530 Góra Kalwaria, wojska polskiego 43
859;HOTEL SANTA MONICA;87-420-70-57;biuro@hotelsantamonica.pl;stały;***;hotel;11-730 Mikołajki, Papieża Jana Pawła II 3
860;ZABAWA;14 678-14-47;recepcja@hotelzabawa.pl;stały;***;hotel;33-133 Wał-Ruda, Zabawa 9a
861;PAŁAC ZDUNOWO;23-6619800;;stały;***;hotel;09-142 Zdunowo, zDUNOWO 50
862;VILLA CZTERY PORY ROKU;68 384-95-16;hotel@villaczteryporyroku.pl;stały;***;hotel;66-210 Zbąszynek, Chlastawa 33
863;OŚRODEK KONFERENCYJNO - WYPOCZYNKOWY KOCIERZ;(0 33)875-06-00;hotel@kocierz.pl;stały;***;hotel;34-120 Andrychów, ul. Beskidzka 206, Targanice
864;HUZAR;(81) 53 305 36;huzar@hotelewam.pl;stały;***;hotel;20-043 Lublin, ul. Spadochroniarzy 9
865;HOTEL STORK;564 953 355;info@hotelstork.pl;stały;***;hotel;87-300 Brodnica, przykop 53
866;Hotel Pietrak;052 315 44 00;hp-trzemeszno@post.pl;stały;***;hotel;62-240 Trzemeszno, Foluska 4
867;"""REJS""";0 - 58 774 -;recepcja@hotel-rejs.pl;stały;***;hotel;84-120 Władysławowo, Hryniewieckiego 4
868;Dwór Pan Tadeusz;523 247 062;restauracja@dworpantadeusz;stały;***;hotel;86-031 Osielsko, Kąkolowa 2
869;"""PAŁAC MARYSIEŃKI""";58/535-25-37;sekretariat@zamek-gniew.pl;stały;***;hotel;83-140 Gniew, Zamkowa 3
870;HOTEL OLIMP;774 362 839;olimpbiuro@op.pl;stały;***;hotel;48-200 Prudnik, Łucznicza 1
871;HOTEL POZYTON;523 290 500;pozyton.recepcja@co.bydgoszcz.pl;stały;***;hotel;85-796 Bydgoszcz, I.Romanowskiej 2
872;ZABAWA;14 678-14-47;recepcja@hotelzabawa.pl;stały;***;hotel;33-133 Wał-Ruda, Zabawa 9a
873;VILLA AURELIA HOTEL&SPA;815 014 126;hotel@villaaurelia.pl;stały;***;hotel;24-140 Nałęczów, al.Lipowa 17
874;Kuźnia;052 3213170, 05;hotel@klubkuznia.pl;stały;***;hotel;85-005 Bydgoszcz, Gdańska 67
875;SAFIR;61 860 48 44;;stały;***;hotel;60-171 Poznań, Zmigrodzka 41/49
876;VILLA BOLESTRASZYCE;739 039 039;INFO@BOLESTRASZYCE.PL;stały;***;hotel;37-722 Bolestraszyce, BOLESTRASZYCE 154A
877;GRYF;48/3655405;;stały;***;hotel;26-600 Radom, Puławska 8
878;CAMPANILE;0-42 664-26-00;lodz@campanile.com.pl;stały;***;hotel;90-307 Łódź, Al.Piłsudskiego 27
879;JESTER;(071) 345 86 00;info@hotel-jester.com;stały;***;hotel;51-427 Wrocław, Kowalska 63
880;ZIELONY ZAKĄTEK;+ 48 607-092-3;zielonyzakatek@wp.pl;stały;***;hotel;07-411 Susk Stary, Susk Stary 10
881;JAKUB SOBIESKI;713014180;jadrom@op.pl;stały;***;hotel;55-200 Oława, ŚW.ROCHA 1
882;TWIERDZA;(12) 285-08-08;hotel@twierdza.com.pl;stały;***;hotel;32-087 Zielonki, ul. Do Fortu 8
883;"""NA SKARPIE""";52/334-13-30;naskarpie@naskarpie.eu;stały;***;hotel;89-606 Charzykowy, Bytowska 2
884;CENTRUM BANKIETOWO-KONFERENCUJNE KORONA PALACE;423070590;kontakt@korana-palace.pl;stały;***;hotel;95-043 Leźnica Wielka, oSIEDLE 18
885;FORREST;683 275 309;;stały;***;hotel;66-004 Zielona Góra, Racula - Głogowska 4a
886;Hotel Royal;061 858 23 00;royal@hotel-royal.com.pl;stały;***;hotel;61-808 Poznań, Św. Marcin 71
887;Wodnik;;;stały;***;hotel;63-700 Krotoszyn, Raszkowwska 78a
888;SILFOR PREMIUM EUROPEJSKI;717721000;recepcja@silfor.pl;stały;***;hotel;50-017 Wrocław, PIŁSUDSKIEGO 88
889;PIWNICA RYCERSKA;(33) 845-25-05;poczta@rycerska.pl;stały;***;hotel;32-650 Kęty, Rynek 8
890;CAMPANILE STARE MIASTO;(071) 326-78-00;WROCLAW@CAMPANILE.COM;stały;***;hotel;50-201 Wrocław, W. Jagiełły 7
891;WIELOPOLE;(12 )422-14-75;office@wielopole.pl;stały;***;hotel;31-072 Kraków, ul. Wielopole 3
892;HADES;0-43 825-31-20;hotel@hades.info.pl;stały;***;hotel;98-220 Zduńska Wola, Łaska 24b
893;LITWIŃSKI;(018)444-90-25;litwinski@hotel-litwinski.pl;stały;***;hotel;33-312 Tęgoborze, Tęgoborze 336
894;AQUA;(076) 74-62-888;;stały;***;hotel;59-100 Polkowice, Młyńska 6
895;METRO;(074) 811 92 00;info@hotelmetro.pl;stały;***;hotel;57-300 Kłodzko, Boguszyn 79 B
896;KOLUMNAPARK;0-43 677-27-27;;stały;***;hotel;95-082 Przygoń, Hotelowa 1, p-ta Dobroń
897;SOLINA SPA;13 461 80 31;recepcja@hotelsolina.eu;stały;***;hotel;38-623 Myczkowce, Myczkowce
898;GÓRSKI;0-44 616-44-34;recepcja@hotel-gorski.net;stały;***;hotel;97-320 Proszenie, p-ta Wolbórz
899;HOTEL RUBBENS;566 631 440;darek@kaskada.torun.komp.pl;stały;***;hotel;87-148 Łysomice, Toruńska 10 a
900;BRISTOL;41 368-24-60,;hotel@bristol.kielce.pl;stały;***;hotel;25-007 Kielce, Sienkiewicza 21
901;RANCHO LOT;605 599 601;rancholot@o2.pl;stały;***;hotel;34-400 Nowy Targ, ul. Lotników 2
902;MODRZEWIÓWKA;(33) 870-24-24;recepcja@modrzewiowka.eu;stały;***;hotel;34-143 Lanckorona, ul. Legionistów 28
903;Pałac Wolsztyn;;;stały;***;hotel;64-200 Wolsztyn, Drzymały 4
904;"""RADOCZA PARK"" HOTEL ACTIVE & SPA";(33) 873-49-10;recepcja@radoczapark.pl;stały;***;hotel;34-100 Radocza, ul. parkowa 1
905;PAŁACYK;076 86 20 444;;stały;***;hotel;59-220 Legnica, Kościuszki 37
906;DWOREK ZA LASEM;43 829-58-83;kontakt@dworekzalasem.pl;stały;***;hotel;98-290 Włyń, Włyń 9a
907;PORTOFINO;542 330 555;hotel@portofino.com.pl;stały;***;hotel;87-800 Włocławek, Kazimierza Wielkiego 4E
908;STODÓŁKA;41 303 46 90;rezerwacja@hotelmiedzianagora.pl;stały;***;hotel;26-085 Ćmińsk, Świętokrzyska 89
909;CZARNO NA BIAŁYM;513 513 737;biuro@czarno-nabialym.pl;stały;***;hotel;30-798 Kraków, ul. Feliksa Wrobela 13
910;CENTRUM OPOKA;18 446-14-39;centrumopoka@gmail.com;stały;***;hotel;33-340 Stary Sącz, ul. Papieska 10
911;ORBITA;(071) 350-10-20;;stały;***;hotel;54-239 Wrocław, Wejherowska 2
912;"HOTEL ""IKAR""";523 668 000;recepcja@hotel-ikar.pl;stały;***;hotel;85-312 Bydgoszcz, Szubińska 32
913;SPORT HOTEL;0-44 632-13-25;sport@hotel.pl;stały;***;hotel;97-400 Bełchatów, 1-go Maja 63
914;CYKADA;564 743 169;biuro@zajazd-cykada.pl;stały;***;hotel;87-313 Brzozie, Jajkowo 51
915;JAWORZYNA KRYNICKA;(18) 473-66-10;hotel@pkl.pl;stały;***;hotel;33-380 Krynica-Zdrój, ul. Czarny Potok 75
916;CZARNY POTOK;(18) 202-02-04;pensjonat@czarnypotok.pl;stały;***;hotel;34-500 Zakopane, ul. Tetmajera 20
917;ZAJAZD ZŁOTA PODKOWA;566 838 010;recepcja@zajazdzlotapodkowa.pl;stały;***;hotel;87-400 Wrocki, Wrocki 84
918;CHOJNIK;(075) 762-12-11;;stały;***;hotel;58-562 Podgórzyn, Zachełmie 24
919;KSIĄŻĘCY;767 224 466;;stały;***;hotel;59-220 Legnica, DWORCOWA 9
920;VILLA PARK;256323003;villapark@hotel.siedlce.pl;stały;***;hotel;08-110 Siedlce, nauczycielska 12
921;BADURA;(33) 873-12-40;rezerwacja@hotelbadura.pl;stały;***;hotel;34-100 Wadowice, ul. Wenecja 4
922;DWÓR CHOTYNIA;+ 48 025 684 83;dwor@chotynia.pl;stały;***;hotel;08-460 Sobolew, Chotynia 96
923;GAL;(14) 688-99-32;;stały;***;hotel;33-100 Tarnów, dworcowa 5
924;POD KOGUTKIEM;(12) 273-11-58;hotel@podkogutkiem.com;stały;***;hotel;32-442 Krzywaczka, Krzywaczka 7
925;SANATORIUM UZDROWISKOWE RYBNICZANKA;91-321-45-32;rybniczanka@nat.pl;stały;***;hotel;72-600 Świnoujście, Kasprowicza 14
926;IBIS WROCŁAW CENTRUM;713445925;;stały;***;hotel;53-332 Wrocław, Powstańców Śląskich 7b
927;OLENDER;566 220 606;marketing@olender.info;stały;***;hotel;87-400 Wielka Nieszawka, Toruńska 34/40
928;VESTINA WELLNESS & SPA;(91) 328-11-21;;stały;***;hotel;72-500 Międzyzdroje, Promenada Gwiazd 36
929;GAZDÓWKA SPA W ŻOŁĘDOWIE;523 282 780;hotel@gazdowka.com.pl;stały;***;hotel;86-031 Żołędowo, szosa gdańska 9
930;HELLON;713 172 429;info@hotel.hellon.com.pl;stały;***;hotel;55-300 Środa Śląska, WROCŁAWSKA 86
931;"""KOZI GRÓD""";58 692 07 80;jola@kozigrod.pl;stały;***;hotel;83-047 Pomlewo, Leśników 3
932;"""ZONG HUA""";58/550 -20-20;rezerwacja@hotelchinski.pl;stały;***;hotel;81-769 Sopot, Al. Wojska Polskiego 1
933;WODNIK;(071)34-33-667;;stały;***;hotel;50-421 Wrocław, Na Grobli 28
934;PORTO;447381654;recepcja@hotelport.com.pl;stały;***;hotel;97-500 Radomsko, PORTOWA 14-20
935;GARDEN PARK;12 291-43-40;info@gardenparkhotel.pl;stały;***;hotel;32-020 Wieliczka, ul. Dembowskiego 60A
936;"""LIVAL""";0 - 58 52 -;info@hotel-lival.pl;stały;***;hotel;80-512 Gdańsk, Młodzieży Polskiej 10-12
937;JAGIEŁŁO;846 962 069;hotel-jagiello@wp.pl;stały;***;hotel;22-500 Hrubieszów, grabowiecka 20
938;SEVEN;62 764 43 43;info@hotelseven.pl;stały;***;hotel;62-800 Kalisz, częstochowska 77
939;"""JANTAR""";59 814 40 93;biuro@jantar.ustka.pl;stały;***;hotel;76-270 Ustka, Wczasowa 14
940;PIAST - ROMAN;(074) 852-13-93;recepcja@hotel-piast-roman.pl;stały;***;hotel;58-100 Świdnica, Kotlarska 11
941;HOTEL RUDNIK;056 4623745 4;rezerwacje@hotelrudnik.pl;stały;***;hotel;86-300 Grudziądz, Miła 2
942;HOTEL AUTOS;523 876 666;restauracja@autos.com.pl;stały;***;hotel;86-050 Solec Kujawski, Powstańców 19
943;ASTORIA;12 432-50-10;biuro@astoriahotel.pl;stały;***;hotel;31-056 Kraków, ul. Józefa 24
944;Novotel Malta;;;stały;***;hotel;61-028 Poznań, Warszawska 64/66
945;NEST;;;stały;***;hotel;62-200 Gniezno, JanaII Sobieskiego 20
946;HOTEL AUSTERIA CONFERENCE &SPA;542 317 000;recepcja@hotelausteria.pl;stały;***;hotel;87-720 Ciechocinek, Bema 32
947;FOCUS KATOWICE CHORZÓW;+48 32 707 45 8;CHORZOW@FOCUSHOTELS.PL;stały;***;hotel;41-506 Chorzów, Armii Krajowej 15
948;"""SPICHRZ""";58/694-03-55;recepcja@borcz.com.pl;stały;***;hotel;83-312 Hopowo, Borcz 4
949;U MARII;(95) 736-66-56,;hotel@umarii.pl;stały;***;hotel;66-400 Gorzów Wielkopolski, Walczaka 8
950;TATRA;18 200-17-17;biuro@hoteltatra.pl;stały;***;hotel;34-500 Zakopane, ul. Cyrhla 34
